applicant_id,channel,group,city,application_date,background_check_completed_date,background_check_initiated_date,card_activation_date,card_mailed_date,first_batch_completed_date,orientation_completed_date,converted,bg_initiated,bg_completed,card_activated,orientation_done,ttfb_days,t_app_to_bginit,t_bginit_to_bgd,t_bgd_to_first
10077,social-media,treatment,Asgard,2018-10-01,2018-10-03,2018-10-01,2018-10-06,2018-10-02,,,False,True,True,True,False,,0.0,2.0,
10078,job-search-site,treatment,Midgard,2018-10-01,2018-10-06,2018-10-01,2018-10-06,2018-10-01,,2018-10-02,False,True,True,True,True,,0.0,5.0,
10079,job-search-site,control,Niflheim,2018-10-01,,,,2018-10-02,,2018-10-05,False,False,False,False,True,,,,
10080,web-search-engine,control,Midgard,2018-10-01,2018-10-10,2018-10-06,2018-10-06,2018-10-02,,,False,True,True,True,False,,5.0,4.0,
10081,web-search-engine,treatment,Alfheim,2018-10-01,2018-10-06,2018-10-01,2018-10-03,2018-10-01,,,False,True,True,True,False,,0.0,5.0,
10082,social-media,control,Asgard,2018-10-01,2018-10-19,2018-10-14,2018-10-14,2018-10-02,,,False,True,True,True,False,,13.0,5.0,
10083,job-search-site,treatment,Asgard,2018-10-01,2018-10-04,2018-10-01,,2018-10-02,,2018-10-05,False,True,True,False,True,,0.0,3.0,
10084,job-search-site,control,Asgard,2018-10-01,2018-10-07,2018-10-03,2018-10-03,2018-10-01,,2018-10-04,False,True,True,True,True,,2.0,4.0,
10085,job-search-site,treatment,Alfheim,2018-10-01,2018-10-06,2018-10-01,2018-10-05,2018-10-01,,2018-10-04,False,True,True,True,True,,0.0,5.0,
10086,social-media,control,Midgard,2018-10-01,2018-10-14,2018-10-08,2018-10-08,2018-10-02,2018-10-14,,True,True,True,True,False,13.0,7.0,6.0,0.0
10087,web-search-engine,control,Midgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-01,2018-10-10,2018-10-04,True,True,True,True,True,9.0,4.0,2.0,3.0
10088,social-media,control,Asgard,2018-10-01,2018-10-06,2018-10-03,2018-10-03,2018-10-01,,,False,True,True,True,False,,2.0,3.0,
10089,job-search-site,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-07,2018-10-02,2018-10-09,2018-10-07,True,True,True,True,True,8.0,0.0,3.0,5.0
10090,social-media,treatment,Midgard,2018-10-01,2018-10-03,2018-10-01,2018-10-05,2018-10-02,2018-10-07,,True,True,True,True,False,6.0,0.0,2.0,4.0
10091,social-media,treatment,Niflheim,2018-10-01,2018-10-03,2018-10-01,2018-10-06,2018-10-01,,,False,True,True,True,False,,0.0,2.0,
10092,job-search-site,treatment,Asgard,2018-10-01,2018-10-04,2018-10-01,2018-10-07,2018-10-01,2018-10-09,2018-10-04,True,True,True,True,True,8.0,0.0,3.0,5.0
10093,web-search-engine,control,Asgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,2.0,
10094,social-media,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-07,2018-10-02,2018-10-08,,True,True,True,True,False,7.0,0.0,3.0,4.0
10095,web-search-engine,control,Midgard,2018-10-01,,,,2018-10-02,,,False,False,False,False,False,,,,
10096,job-search-site,control,Asgard,2018-10-01,2018-10-10,2018-10-05,2018-10-05,2018-10-02,,,False,True,True,True,False,,4.0,5.0,
10097,job-search-site,control,Asgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,,2018-10-02,False,True,True,True,True,,4.0,4.0,
10098,social-media,treatment,Vanaheim,2018-10-01,2018-10-03,2018-10-01,2018-10-04,2018-10-02,,,False,True,True,True,False,,0.0,2.0,
10099,social-media,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,,,False,True,True,True,False,,4.0,4.0,
10100,web-search-engine,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-04,2018-10-01,,,False,True,True,True,False,,0.0,5.0,
10101,web-search-engine,control,Niflheim,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-01,2018-10-13,,True,True,True,True,False,12.0,4.0,4.0,4.0
10102,web-search-engine,control,Asgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-02,,2018-10-02,False,True,True,True,True,,4.0,2.0,
10103,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-06,2018-10-06,2018-10-02,,,False,True,True,True,False,,5.0,3.0,
10104,job-search-site,control,Midgard,2018-10-01,,,,2018-10-02,,2018-10-01,False,False,False,False,True,,,,
10105,job-search-site,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-05,2018-10-02,2018-10-08,2018-10-05,True,True,True,True,True,7.0,0.0,5.0,2.0
10106,job-search-site,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-03,2018-10-01,,2018-10-01,False,True,True,True,True,,0.0,4.0,
10107,social-media,treatment,Asgard,2018-10-01,2018-10-03,2018-10-01,2018-10-06,2018-10-01,2018-10-07,,True,True,True,True,False,6.0,0.0,2.0,4.0
10108,job-search-site,control,Midgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-01,,2018-10-01,False,True,True,True,True,,3.0,3.0,
10109,social-media,control,Alfheim,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-02,,2018-10-11,False,True,True,True,True,,3.0,3.0,
10110,web-search-engine,control,Midgard,2018-10-01,2018-10-09,2018-10-04,2018-10-04,2018-10-02,,,False,True,True,True,False,,3.0,5.0,
10111,web-search-engine,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-10,2018-10-02,,2018-10-01,False,True,True,True,True,,0.0,4.0,
10112,web-search-engine,control,Midgard,2018-10-01,2018-10-06,2018-10-03,2018-10-03,2018-10-01,,,False,True,True,True,False,,2.0,3.0,
10113,web-search-engine,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,,,False,True,True,True,False,,4.0,4.0,
10114,web-search-engine,control,Midgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-01,2018-10-11,2018-10-03,True,True,True,True,True,10.0,5.0,5.0,0.0
10115,social-media,control,Midgard,2018-10-01,2018-10-08,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,3.0,
10116,web-search-engine,control,Midgard,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-02,2018-10-09,2018-10-02,True,True,True,True,True,8.0,3.0,4.0,1.0
10117,web-search-engine,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,4.0,
10118,web-search-engine,control,Asgard,2018-10-01,2018-10-10,2018-10-06,2018-10-06,2018-10-01,,2018-10-02,False,True,True,True,True,,5.0,4.0,
10119,social-media,control,Midgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-01,2018-10-10,,True,True,True,True,False,9.0,4.0,2.0,3.0
10120,web-search-engine,treatment,Svartalfheim,2018-10-01,2018-10-03,2018-10-01,2018-10-04,2018-10-02,,,False,True,True,True,False,,0.0,2.0,
10121,social-media,control,Asgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-01,2018-10-09,,True,True,True,True,False,8.0,3.0,3.0,2.0
10122,job-search-site,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-06,2018-10-02,2018-10-11,,True,True,True,True,False,10.0,0.0,4.0,6.0
10123,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-03,2018-10-03,2018-10-01,2018-10-10,,True,True,True,True,False,9.0,2.0,6.0,1.0
10124,web-search-engine,control,Asgard,2018-10-01,,,,2018-10-01,,,False,False,False,False,False,,,,
10125,social-media,treatment,Svartalfheim,2018-10-01,2018-10-04,2018-10-01,2018-10-08,2018-10-01,2018-10-09,,True,True,True,True,False,8.0,0.0,3.0,5.0
10126,job-search-site,control,Asgard,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-01,,,False,True,True,True,False,,3.0,4.0,
10127,web-search-engine,control,Midgard,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-02,2018-10-09,2018-10-03,True,True,True,True,True,8.0,3.0,4.0,1.0
10128,web-search-engine,control,Asgard,2018-10-01,,,,2018-10-01,,,False,False,False,False,False,,,,
10129,social-media,control,Vanaheim,2018-10-01,2018-10-09,2018-10-04,2018-10-04,2018-10-01,,,False,True,True,True,False,,3.0,5.0,
10130,social-media,control,Midgard,2018-10-01,2018-10-12,2018-10-08,2018-10-08,2018-10-01,2018-10-15,,True,True,True,True,False,14.0,7.0,4.0,3.0
10131,web-search-engine,treatment,Alfheim,2018-10-01,2018-10-04,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-06,True,True,True,True,True,4.0,0.0,3.0,1.0
10132,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-06,2018-10-06,2018-10-01,,2018-10-02,False,True,True,True,True,,5.0,3.0,
10133,web-search-engine,control,Midgard,2018-10-01,2018-10-09,2018-10-07,2018-10-07,2018-10-02,,,False,True,True,True,False,,6.0,2.0,
10134,web-search-engine,control,Asgard,2018-10-01,2018-10-13,2018-10-06,2018-10-06,2018-10-01,2018-10-15,2018-10-02,True,True,True,True,True,14.0,5.0,7.0,2.0
10135,social-media,control,Asgard,2018-10-01,2018-10-12,2018-10-05,2018-10-05,2018-10-01,2018-10-12,,True,True,True,True,False,11.0,4.0,7.0,0.0
10136,web-search-engine,control,Asgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-01,,,False,True,True,True,False,,3.0,3.0,
10137,web-search-engine,control,Asgard,2018-10-01,2018-10-10,2018-10-06,2018-10-06,2018-10-02,2018-10-13,,True,True,True,True,False,12.0,5.0,4.0,3.0
10138,social-media,control,Asgard,2018-10-01,2018-10-10,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,5.0,
10139,social-media,control,Midgard,2018-10-01,2018-10-08,2018-10-06,2018-10-06,2018-10-02,2018-10-13,2018-10-09,True,True,True,True,True,12.0,5.0,2.0,5.0
10140,social-media,control,Midgard,2018-10-01,2018-10-06,2018-10-03,2018-10-03,2018-10-01,,,False,True,True,True,False,,2.0,3.0,
10141,social-media,control,Midgard,2018-10-01,2018-10-10,2018-10-07,2018-10-07,2018-10-02,,,False,True,True,True,False,,6.0,3.0,
10142,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-03,2018-10-03,2018-10-01,,2018-10-03,False,True,True,True,True,,2.0,6.0,
10143,social-media,control,Asgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-02,2018-10-12,,True,True,True,True,False,11.0,5.0,5.0,1.0
10144,job-search-site,control,Asgard,2018-10-01,2018-10-11,2018-10-04,2018-10-04,2018-10-02,2018-10-13,,True,True,True,True,False,12.0,3.0,7.0,2.0
10145,social-media,control,Midgard,2018-10-01,2018-10-09,2018-10-06,2018-10-06,2018-10-01,2018-10-09,,True,True,True,True,False,8.0,5.0,3.0,0.0
10146,social-media,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,4.0,
10147,social-media,control,Midgard,2018-10-01,2018-10-17,2018-10-12,2018-10-12,2018-10-02,,,False,True,True,True,False,,11.0,5.0,
10148,web-search-engine,treatment,Midgard,2018-10-01,2018-10-03,2018-10-01,2018-10-05,2018-10-02,2018-10-05,,True,True,True,True,False,4.0,0.0,2.0,2.0
10149,social-media,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-03,2018-10-01,,,False,True,True,True,False,,0.0,4.0,
10150,job-search-site,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-03,2018-10-01,,2018-10-01,False,True,True,True,True,,0.0,4.0,
10151,job-search-site,control,Asgard,2018-10-01,2018-10-08,2018-10-06,2018-10-06,2018-10-02,,,False,True,True,True,False,,5.0,2.0,
10152,social-media,control,Midgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-02,,2018-10-12,False,True,True,True,True,,5.0,5.0,
10153,web-search-engine,control,Midgard,2018-10-01,2018-10-10,2018-10-04,2018-10-04,2018-10-01,,,False,True,True,True,False,,3.0,6.0,
10154,social-media,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-05,2018-10-01,2018-10-07,,True,True,True,True,False,6.0,0.0,4.0,2.0
10155,social-media,control,Alfheim,2018-10-01,2018-10-10,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,5.0,
10156,web-search-engine,control,Midgard,2018-10-01,2018-10-11,2018-10-07,2018-10-07,2018-10-02,,,False,True,True,True,False,,6.0,4.0,
10157,social-media,control,Asgard,2018-10-01,2018-10-14,2018-10-08,2018-10-08,2018-10-02,,,False,True,True,True,False,,7.0,6.0,
10158,social-media,control,Midgard,2018-10-01,2018-10-08,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,3.0,
10159,social-media,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-01,2018-10-12,,True,True,True,True,False,11.0,4.0,4.0,3.0
10160,job-search-site,treatment,Asgard,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-02,,,False,True,True,True,False,,0.0,3.0,
10161,social-media,treatment,Midgard,2018-10-01,2018-10-06,2018-10-01,2018-10-04,2018-10-01,,,False,True,True,True,False,,0.0,5.0,
10162,web-search-engine,control,Asgard,2018-10-01,2018-10-12,2018-10-08,2018-10-08,2018-10-02,,2018-10-01,False,True,True,True,True,,7.0,4.0,
10163,social-media,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-07,2018-10-02,,,False,True,True,True,False,,0.0,3.0,
10164,social-media,control,Asgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,2018-10-10,,True,True,True,True,False,9.0,4.0,4.0,1.0
10165,web-search-engine,control,Vanaheim,2018-10-01,2018-10-09,2018-10-07,2018-10-07,2018-10-01,,,False,True,True,True,False,,6.0,2.0,
10166,web-search-engine,control,Midgard,2018-10-01,2018-10-08,2018-10-03,2018-10-03,2018-10-01,,2018-10-05,False,True,True,True,True,,2.0,5.0,
10167,web-search-engine,control,Alfheim,2018-10-01,2018-10-12,2018-10-08,2018-10-08,2018-10-02,,2018-10-04,False,True,True,True,True,,7.0,4.0,
10168,social-media,treatment,Midgard,2018-10-01,2018-10-06,2018-10-01,2018-10-08,2018-10-01,,,False,True,True,True,False,,0.0,5.0,
10169,social-media,treatment,Vanaheim,2018-10-01,2018-10-04,2018-10-01,2018-10-04,2018-10-02,2018-10-05,2018-10-08,True,True,True,True,True,4.0,0.0,3.0,1.0
10170,social-media,control,Alfheim,2018-10-01,2018-10-14,2018-10-10,2018-10-10,2018-10-02,,,False,True,True,True,False,,9.0,4.0,
10171,social-media,control,Asgard,2018-10-01,2018-10-11,2018-10-07,2018-10-07,2018-10-02,2018-10-13,,True,True,True,True,False,12.0,6.0,4.0,2.0
10172,web-search-engine,control,Asgard,2018-10-01,,,,2018-10-01,,2018-10-01,False,False,False,False,True,,,,
10173,web-search-engine,control,Asgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-02,,2018-10-03,False,True,True,True,True,,5.0,5.0,
10174,web-search-engine,control,Alfheim,2018-10-01,,,,2018-10-02,,2018-10-05,False,False,False,False,True,,,,
